audit_file,nneg,npos,outpath,outdir
\\NAS1\NAS1_2Jun14/Figs/FIWI_2015_R2/LEHU2_2September15/LEHU2_2September15_audit_HAPE_21Apr.fig,28,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\FIWI_2015_R2/LEHU2_2September15/LEHU2_2September15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/FIWI_2015_R2/LEHU2_2September15
\\NAS1\NAS1_2Jun14/Figs/FIWI_2015_R2/LEHUA03_2September15/LEHUA03_2September15_audit_HAPE_21Apr.fig,28,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\FIWI_2015_R2/LEHUA03_2September15/LEHUA03_2September15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/FIWI_2015_R2/LEHUA03_2September15
\\NAS1\NAS1_2Jun14/Figs/FIWI_2015_R2/ROVFW1_27August15/ROVFW1_27August15_audit_HAPE_21Apr.fig,19,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\FIWI_2015_R2/ROVFW1_27August15/ROVFW1_27August15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/FIWI_2015_R2/ROVFW1_27August15
\\NAS1\NAS1_2Jun14/Figs/FIWI_2015_R2/ROVFW2_27August15/ROVFW2_27August15_audit_HAPE_21Apr.fig,81,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\FIWI_2015_R2/ROVFW2_27August15/ROVFW2_27August15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/FIWI_2015_R2/ROVFW2_27August15
\\NAS1\NAS1_2Jun14/Figs/FIWI_2015_R2/ROVFW3_27August15/ROVFW3_27August15_audit_HAPE_21Apr.fig,86,2,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\FIWI_2015_R2/ROVFW3_27August15/ROVFW3_27August15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/FIWI_2015_R2/ROVFW3_27August15
\\NAS1\NAS1_2Jun14/Figs/FIWI_2015_R2/ROVFW4_27August15/ROVFW4_27August15_audit_HAPE_21Apr.fig,20,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\FIWI_2015_R2/ROVFW4_27August15/ROVFW4_27August15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/FIWI_2015_R2/ROVFW4_27August15
\\NAS1\NAS1_2Jun14/Figs/FIWI_2015_R2/ROVFW6_27August15/ROVFW6_27August15_audit_HAPE_21Apr.fig,48,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\FIWI_2015_R2/ROVFW6_27August15/ROVFW6_27August15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/FIWI_2015_R2/ROVFW6_27August15
\\NAS1\NAS1_2Jun14/Figs/FIWI_2015_R2/ROVFW7_27August15/ROVFW7_27August15_audit_HAPE_21Apr.fig,36,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\FIWI_2015_R2/ROVFW7_27August15/ROVFW7_27August15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/FIWI_2015_R2/ROVFW7_27August15
\\NAS1\NAS1_2Jun14/Figs/FIWI_2015_R2/ROVFW8_27August15/ROVFW8_27August15_audit_HAPE_21Apr.fig,51,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\FIWI_2015_R2/ROVFW8_27August15/ROVFW8_27August15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/FIWI_2015_R2/ROVFW8_27August15
\\NAS1\NAS1_2Jun14/Figs/FIWI_2015_R2/ROVFW9_27August15/ROVFW9_27August15_audit_HAPE_21Apr.fig,55,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\FIWI_2015_R2/ROVFW9_27August15/ROVFW9_27August15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/FIWI_2015_R2/ROVFW9_27August15
\\NAS1\NAS1_2Jun14/Figs/IC_Pinzon_2012/IC01/IC01audit_Visual_GAPE_HAPEdnn_21Apr.fig,163,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\IC_Pinzon_2012/IC01/IC01audit_Visual_GAPE_HAPEdnn_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/IC_Pinzon_2012/IC01
\\NAS1\NAS1_2Jun14/Figs/IC_Pinzon_2012/IC03/IC03audit_Visual_GAPE_HAPEdnn_21Apr.fig,163,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\IC_Pinzon_2012/IC03/IC03audit_Visual_GAPE_HAPEdnn_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/IC_Pinzon_2012/IC03
\\NAS1\NAS1_2Jun14/Figs/IC_Pinzon_2012/IC04/IC04audit_Visual_GAPE_HAPEdnn_21Apr.fig,162,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\IC_Pinzon_2012/IC04/IC04audit_Visual_GAPE_HAPEdnn_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/IC_Pinzon_2012/IC04
\\NAS1\NAS1_2Jun14/Figs/IC_Pinzon_2012/IC05/IC05audit_Visual_GAPE_HAPEdnn_21Apr.fig,146,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\IC_Pinzon_2012/IC05/IC05audit_Visual_GAPE_HAPEdnn_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/IC_Pinzon_2012/IC05
\\NAS1\NAS1_2Jun14/Figs/IC_Pinzon_2012/IC06/IC06audit_Visual_GAPE_HAPEdnn_21Apr.fig,131,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\IC_Pinzon_2012/IC06/IC06audit_Visual_GAPE_HAPEdnn_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/IC_Pinzon_2012/IC06
\\NAS1\NAS1_2Jun14/Figs/IC_Pinzon_2012/NF15/NF15audit_Visual_GAPE_HAPEdnn_21Apr.fig,116,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\IC_Pinzon_2012/NF15/NF15audit_Visual_GAPE_HAPEdnn_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/IC_Pinzon_2012/NF15
\\NAS1\NAS1_2Jun14/Figs/IC_Pinzon_2012/NF17/NF17audit_Visual_GAPE_HAPEdnn_21Apr.fig,41,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\IC_Pinzon_2012/NF17/NF17audit_Visual_GAPE_HAPEdnn_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/IC_Pinzon_2012/NF17
\\NAS1\NAS1_2Jun14/Figs/IC_Pinzon_2012/NF18/NF18audit_Visual_GAPE_HAPEdnn_21Apr.fig,117,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\IC_Pinzon_2012/NF18/NF18audit_Visual_GAPE_HAPEdnn_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/IC_Pinzon_2012/NF18
\\NAS1\NAS1_2Jun14/Figs/IC_Pinzon_2012/NF19/NF19audit_Visual_GAPE_HAPEdnn_21Apr.fig,136,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\IC_Pinzon_2012/NF19/NF19audit_Visual_GAPE_HAPEdnn_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/IC_Pinzon_2012/NF19
\\NAS1\NAS1_2Jun14/Figs/IC_Pinzon_2012/SM62/SM62audit_Visual_GAPE_HAPEdnn_21Apr.fig,120,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\IC_Pinzon_2012/SM62/SM62audit_Visual_GAPE_HAPEdnn_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/IC_Pinzon_2012/SM62
\\NAS1\NAS1_2Jun14/Figs/IC_Pinzon_2012/SM73/SM73audit_Visual_GAPE_HAPEdnn_21Apr.fig,93,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\IC_Pinzon_2012/SM73/SM73audit_Visual_GAPE_HAPEdnn_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/IC_Pinzon_2012/SM73
\\NAS1\NAS1_2Jun14/Figs/KESRP_ABC_hkpi_hnkoa_2016_R1_BACKUP/HNKP1_22_June2016/HNKP1_22_June2016_audit_HAPE_21Apr.fig,7,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_ABC_hkpi_hnkoa_2016_R1_BACKUP/HNKP1_22_June2016/HNKP1_22_June2016_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_ABC_hkpi_hnkoa_2016_R1_BACKUP/HNKP1_22_June2016
\\NAS1\NAS1_2Jun14/Figs/KESRP_ABC_hkpi_hnkoa_2016_R1_BACKUP/HNKP2_22_June2016/HNKP2_22_June2016_audit_HAPE_21Apr.fig,14,1,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_ABC_hkpi_hnkoa_2016_R1_BACKUP/HNKP2_22_June2016/HNKP2_22_June2016_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_ABC_hkpi_hnkoa_2016_R1_BACKUP/HNKP2_22_June2016
\\NAS1\NAS1_2Jun14/Figs/KESRP_ABC_hkpi_hnkoa_2016_R1_BACKUP/HNKP3_22_June2016/HNKP3_22_June2016_audit_HAPE_21Apr.fig,8,18,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_ABC_hkpi_hnkoa_2016_R1_BACKUP/HNKP3_22_June2016/HNKP3_22_June2016_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_ABC_hkpi_hnkoa_2016_R1_BACKUP/HNKP3_22_June2016
\\NAS1\NAS1_2Jun14/Figs/KESRP_ABC_hkpi_hnkoa_2016_R1_BACKUP/HNKP4_22_June2016/HNKP4_22_June2016_audit_HAPE_21Apr.fig,8,4,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_ABC_hkpi_hnkoa_2016_R1_BACKUP/HNKP4_22_June2016/HNKP4_22_June2016_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_ABC_hkpi_hnkoa_2016_R1_BACKUP/HNKP4_22_June2016
\\NAS1\NAS1_2Jun14/Figs/KESRP_ABC_hkpi_hnkoa_2016_R1_BACKUP/HNKP5_22_June2016/HNKP5_22_June2016_audit_HAPE_21Apr.fig,10,7,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_ABC_hkpi_hnkoa_2016_R1_BACKUP/HNKP5_22_June2016/HNKP5_22_June2016_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_ABC_hkpi_hnkoa_2016_R1_BACKUP/HNKP5_22_June2016
\\NAS1\NAS1_2Jun14/Figs/KESRP_HNKP_2015_R2/HNKP1_29October15/HNKP1_29October15_audit_HAPE_21Apr.fig,10,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_HNKP_2015_R2/HNKP1_29October15/HNKP1_29October15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_HNKP_2015_R2/HNKP1_29October15
\\NAS1\NAS1_2Jun14/Figs/KESRP_HNKP_2015_R2/HNKP2_28October15/HNKP2_28October15_audit_HAPE_21Apr.fig,12,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_HNKP_2015_R2/HNKP2_28October15/HNKP2_28October15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_HNKP_2015_R2/HNKP2_28October15
\\NAS1\NAS1_2Jun14/Figs/KESRP_HNKP_2015_R2/HNKP3_28October15/HNKP3_28October15_audit_HAPE_21Apr.fig,11,10,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_HNKP_2015_R2/HNKP3_28October15/HNKP3_28October15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_HNKP_2015_R2/HNKP3_28October15
\\NAS1\NAS1_2Jun14/Figs/KESRP_HNKP_2015_R2/HNKP4_28October15/HNKP4_28October15_audit_HAPE_21Apr.fig,5,1,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_HNKP_2015_R2/HNKP4_28October15/HNKP4_28October15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_HNKP_2015_R2/HNKP4_28October15
\\NAS1\NAS1_2Jun14/Figs/KESRP_HNKP_2015_R2/HNKP5_28October15/HNKP5_28October15_audit_HAPE_21Apr.fig,8,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_HNKP_2015_R2/HNKP5_28October15/HNKP5_28October15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_HNKP_2015_R2/HNKP5_28October15
\\NAS1\NAS1_2Jun14/Figs/KESRP_HNKP_2015_R2_RIGHT/HNKP1_29October15/HNKP1_29October15_audit_HAPE_21Apr.fig,9,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_HNKP_2015_R2_RIGHT/HNKP1_29October15/HNKP1_29October15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_HNKP_2015_R2_RIGHT/HNKP1_29October15
\\NAS1\NAS1_2Jun14/Figs/KESRP_HNKP_2015_R2_RIGHT/HNKP2_28October15/HNKP2_28October15_audit_HAPE_21Apr.fig,7,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_HNKP_2015_R2_RIGHT/HNKP2_28October15/HNKP2_28October15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_HNKP_2015_R2_RIGHT/HNKP2_28October15
\\NAS1\NAS1_2Jun14/Figs/KESRP_HNKP_2015_R2_RIGHT/HNKP4_28October15/HNKP4_28October15_audit_HAPE_21Apr.fig,11,7,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_HNKP_2015_R2_RIGHT/HNKP4_28October15/HNKP4_28October15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_HNKP_2015_R2_RIGHT/HNKP4_28October15
\\NAS1\NAS1_2Jun14/Figs/KESRP_HNKP_2015_R2_RIGHT/HNKP5_28October15/HNKP5_28October15_audit_HAPE_21Apr.fig,9,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_HNKP_2015_R2_RIGHT/HNKP5_28October15/HNKP5_28October15_audit_HAPE_21Apr.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_HNKP_2015_R2_RIGHT/HNKP5_28October15
\\NAS1\NAS1_2Jun14/Figs/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM02/KESRP_Lehua_2013_R1_CM02_dnnClass_audit_HAPE_21May.fig,37,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM02/KESRP_Lehua_2013_R1_CM02_dnnClass_audit_HAPE_21May.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM02
\\NAS1\NAS1_2Jun14/Figs/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM02/KESRP_Lehua_2013_R1_CM02_dnnClass_HAPE_21May.fig,35,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM02/KESRP_Lehua_2013_R1_CM02_dnnClass_HAPE_21May.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM02
\\NAS1\NAS1_2Jun14/Figs/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM07/KESRP_Lehua_2013_R1_CM07_dnnClass_audit_HAPE_21May.fig,34,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM07/KESRP_Lehua_2013_R1_CM07_dnnClass_audit_HAPE_21May.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM07
\\NAS1\NAS1_2Jun14/Figs/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM07/KESRP_Lehua_2013_R1_CM07_dnnClass_HAPE_21May.fig,31,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM07/KESRP_Lehua_2013_R1_CM07_dnnClass_HAPE_21May.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM07
\\NAS1\NAS1_2Jun14/Figs/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM08/KESRP_Lehua_2013_R1_CM08_dnnClass_audit_HAPE_21May.fig,36,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM08/KESRP_Lehua_2013_R1_CM08_dnnClass_audit_HAPE_21May.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM08
\\NAS1\NAS1_2Jun14/Figs/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM08/KESRP_Lehua_2013_R1_CM08_dnnClass_HAPE_21May.fig,24,23,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM08/KESRP_Lehua_2013_R1_CM08_dnnClass_HAPE_21May.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_Lehua_2013_r1/KESRP_Lehua_2013_R1_CM08
\\NAS1\NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua1_28Feb14/Lehua1_28Feb14_audit_HAPE_21May.fig,40,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_Lehua_2014_r2/Lehua1_28Feb14/Lehua1_28Feb14_audit_HAPE_21May.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_Lehua_2014_r2/Lehua1_28Feb14
\\NAS1\NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua1_28Feb14/Lehua1_28Feb14_dnnClass_audit_HAPE_21May.fig,41,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_Lehua_2014_r2/Lehua1_28Feb14/Lehua1_28Feb14_dnnClass_audit_HAPE_21May.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_Lehua_2014_r2/Lehua1_28Feb14
\\NAS1\NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua1_28Feb14/Lehua1_28Feb14_dnnClass_HAPE_21May.fig,46,6,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_Lehua_2014_r2/Lehua1_28Feb14/Lehua1_28Feb14_dnnClass_HAPE_21May.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_Lehua_2014_r2/Lehua1_28Feb14
\\NAS1\NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua2_28Feb14/Lehua2_28Feb14_dnnClass_audit_HAPE_21May.fig,63,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_Lehua_2014_r2/Lehua2_28Feb14/Lehua2_28Feb14_dnnClass_audit_HAPE_21May.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_Lehua_2014_r2/Lehua2_28Feb14
\\NAS1\NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua2_28Feb14/Lehua2_28Feb14_dnnClass_HAPE_21May.fig,64,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_Lehua_2014_r2/Lehua2_28Feb14/Lehua2_28Feb14_dnnClass_HAPE_21May.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_Lehua_2014_r2/Lehua2_28Feb14
\\NAS1\NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua3_28Feb14/Lehua3_28Feb14_dnnClass_audit_HAPE_21May.fig,57,0,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_Lehua_2014_r2/Lehua3_28Feb14/Lehua3_28Feb14_dnnClass_audit_HAPE_21May.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_Lehua_2014_r2/Lehua3_28Feb14
\\NAS1\NAS1_2Jun14/Figs/KESRP_Lehua_2014_r2/Lehua3_28Feb14/Lehua3_28Feb14_dnnClass_HAPE_21May.fig,42,283,\\NAS1\NAS1_2Jun14\Motherships\HAPE_CNN_Mother_test\KESRP_Lehua_2014_r2/Lehua3_28Feb14/Lehua3_28Feb14_dnnClass_HAPE_21May.fig,\\NAS1/NAS1_2Jun14/Motherships/HAPE_CNN_Mother_test/KESRP_Lehua_2014_r2/Lehua3_28Feb14
